"Id","SalePrice"
1461,113659.336987774
1462,155152.18969485
1463,175888.593469708
1464,198931.386849594
1465,205823.430868708
1466,175548.79767199
1467,191855.041858436
1468,170469.339806454
1469,196956.573512665
1470,115500.580051055
1471,186538.728094212
1472,95003.0614292033
1473,92113.4358704394
1474,153647.507381703
1475,118914.175163938
1476,325669.123415296
1477,256280.778264578
1478,283222.260270373
1479,273850.691424742
1480,416806.821530317
1481,321383.502016516
1482,221943.760092342
1483,170494.870659086
1484,158436.16896337
1485,189910.931569103
1486,198823.270203804
1487,319624.93027745
1488,247126.00097681
1489,187643.530275751
1490,219689.185276487
1491,184364.123644445
1492,105058.157619187
1493,177962.67448429
1494,295315.758303486
1495,307252.627202267
1496,226865.724241203
1497,189358.88674359
1498,163277.424490741
1499,162019.955391453
1500,155700.978507365
1501,179910.235878549
1502,155200.08357486
1503,259898.625634402
1504,245725.757760801
1505,226570.981952158
1506,196879.03404607
1507,226503.567070433
1508,190348.37115356
1509,167545.530754428
1510,143424.722665373
1511,144576.350539536
1512,171906.305452239
1513,165283.350463513
1514,148505.095208363
1515,201045.942414539
1516,153952.67469503
1517,161091.99721382
1518,132869.105757883
1519,196527.577835551
1520,131510.856223588
1521,130336.583870205
1522,183509.328696001
1523,113486.028491319
1524,128796.139620121
1525,120275.351780046
1526,114207.526157755
1527,118044.437556477
1528,150442.003518214
1529,142567.51638404
1530,184612.205280484
1531,112797.565302514
1532,101716.257389747
1533,142712.804851113
1534,123464.258440098
1535,132812.146310493
1536,106406.421083213
1537,61017.66096558
1538,149774.240922926
1539,205135.659451569
1540,101528.276606921
1541,129944.262171742
1542,122417.391759582
1543,172960.130088503
1544,88552.2754366543
1545,122296.090750917
1546,136972.921366343
1547,122179.289039389
1548,137400.693443432
1549,119210.479116209
1550,133674.635228527
1551,111251.513722046
1552,127537.260308905
1553,137143.89855673
1554,123907.610150929
1555,166194.793240056
1556,103501.191881963
1557,108074.35776807
1558,97055.875192758
1559,83999.0362134605
1560,138006.885793348
1561,127468.885502808
1562,123017.584171092
1563,115118.474502787
1564,164042.19171081
1565,139230.262521173
1566,241711.751854933
1567,81939.7424123181
1568,229192.62923583
1569,110409.613738046
1570,137536.466262765
1571,127997.79569873
1572,140358.12698192
1573,198309.146409425
1574,121413.794852968
1575,215848.301776776
1576,244025.559785537
1577,177270.1739591
1578,166067.24175413
1579,146830.037974916
1580,198828.460638804
1581,159683.80791358
1582,135783.029306398
1583,302802.439091035
1584,223289.445983307
1585,144116.483670541
1586,63455.2800480938
1587,105192.241115673
1588,141742.778341499
1589,100710.721018058
1590,139226.730689601
1591,92833.8295476518
1592,114912.683499006
1593,121482.132054002
1594,117856.19091793
1595,105781.276521544
1596,207925.122516616
1597,169036.76860543
1598,201913.176343109
1599,168761.649015816
1600,160846.406863966
1601,57525.1530428702
1602,106995.319814091
1603,92234.4045202133
1604,233188.642959315
1605,241911.900726405
1606,182036.098350787
1607,184391.386233201
1608,218023.558435667
1609,182998.997634188
1610,158710.458278798
1611,151196.159458905
1612,157531.276046981
1613,162084.614254183
1614,118948.810212387
1615,95107.394011865
1616,86409.7137823864
1617,101104.291600931
1618,124355.074278456
1619,137110.938792643
1620,154294.65038679
1621,134004.652254804
1622,139247.754984682
1623,249337.202162233
1624,199404.19074232
1625,118093.94064153
1626,174995.660135158
1627,191822.434250077
1628,266274.01431841
1629,195299.785994511
1630,353603.675466984
1631,245831.088185763
1632,262339.333590635
1633,182694.533599682
1634,193630.600760912
1635,178706.762811837
1636,161854.594973162
1637,202337.443546325
1638,204202.023817482
1639,195480.238441228
1640,253951.462513276
1641,186111.958737474
1642,233808.596072114
1643,240060.440024088
1644,231976.45771342
1645,212870.321599571
1646,161855.62291605
1647,164301.198940594
1648,128322.541634862
1649,136487.175933106
1650,113880.104706316
1651,118097.170643298
1652,99370.4080166091
1653,103113.806128797
1654,153212.813398442
1655,141093.308262485
1656,144898.448542615
1657,154223.670164573
1658,151485.350886041
1659,128162.27795944
1660,147915.701952907
1661,396223.894568253
1662,370508.376770539
1663,349789.26962723
1664,503641.574488729
1665,297779.62414955
1666,313310.021709759
1667,357825.583543858
1668,322307.494296952
1669,298091.812101077
1670,325960.441423782
1671,267415.019375947
1672,407649.985874202
1673,292516.621231501
1674,264845.053425219
1675,200947.21271704
1676,196113.472397615
1677,225832.368099238
1678,418139.078667808
1679,342671.158092808
1680,314931.045216859
1681,248337.022570161
1682,296377.876661801
1683,209334.783172568
1684,184424.961302069
1685,172118.047907553
1686,170268.508355582
1687,178508.412911157
1688,195123.785777085
1689,196629.784250604
1690,199342.915381282
1691,187575.85217948
1692,255423.270196452
1693,176823.328338747
1694,187216.498721464
1695,179320.306542898
1696,290424.580861247
1697,189882.648337118
1698,349471.94421924
1699,317474.015936412
1700,258788.476245603
1701,280521.202066352
1702,243839.474797832
1703,244359.933625866
1704,275567.415659852
1705,225952.316799193
1706,280120.78572583
1707,203773.425897586
1708,200964.546634395
1709,262340.713503117
1710,221181.677448131
1711,257834.802374957
1712,252504.24526868
1713,256590.249838382
1714,226089.80287761
1715,205348.544108702
1716,178251.649165833
1717,175310.507258919
1718,138122.647897494
1719,191475.138862353
1720,224133.24640888
1721,154637.613176804
1722,117382.311929308
1723,143368.767425375
1724,202901.448300281
1725,226438.055656285
1726,181454.833428953
1727,161671.451927408
1728,170658.489060034
1729,171579.409416792
1730,178305.106920238
1731,122523.170039296
1732,120631.268870546
1733,110552.476852933
1734,122051.858274624
1735,123199.215952002
1736,108652.822854326
1737,326155.129724886
1738,263978.398404884
1739,255759.34230257
1740,207519.476789077
1741,186413.96328743
1742,180391.647044186
1743,189210.940051393
1744,310923.462388033
1745,220968.939510022
